iter	Passed	Remaining
0	0	98
1	1	96
2	2	96
3	3	89
4	4	89
5	5	88
6	6	87
7	7	86
8	8	85
9	9	84
10	10	82
11	11	81
12	11	80
13	12	79
14	13	78
15	14	76
16	15	75
17	16	74
18	17	74
19	18	73
20	19	73
21	20	73
22	21	72
23	22	72
24	24	72
25	25	72
26	26	72
27	28	72
28	29	71
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	39	59
40	40	58
41	41	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	48	47
51	49	46
52	50	44
53	51	43
54	52	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	30
68	64	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
