iter	Passed	Remaining
0	134	134382
1	136	68207
2	138	46167
3	141	35127
4	143	28514
5	145	24107
6	147	20949
7	149	18593
8	152	16763
9	154	15281
10	156	14084
11	158	13078
12	161	12233
13	163	11499
14	165	10864
15	167	10299
16	169	9802
17	171	9357
18	173	8954
19	176	8653
20	178	8332
21	180	8030
22	182	7769
23	185	7528
24	187	7302
25	189	7105
26	191	6916
27	194	6735
28	196	6565
29	198	6404
30	200	6256
31	202	6114
32	204	5982
33	206	5861
34	208	5745
35	210	5631
36	212	5523
37	214	5421
38	216	5326
39	218	5235
40	220	5147
41	221	5061
42	223	4982
43	225	4903
44	227	4828
45	229	4757
46	231	4691
47	233	4628
48	235	4565
49	237	4505
50	238	4445
51	240	4390
52	242	4337
53	244	4284
54	246	4238
55	248	4190
56	250	4142
57	252	4095
58	254	4051
59	255	4009
60	257	3969
61	259	3932
62	262	3898
63	264	3862
64	266	3826
65	267	3789
66	269	3755
67	271	3721
68	273	3689
69	275	3658
70	277	3628
71	279	3598
72	281	3569
73	282	3540
74	284	3511
75	286	3485
76	288	3458
77	290	3431
78	292	3407
79	294	3382
80	295	3357
81	297	3334
82	298	3301
83	300	3279
84	302	3258
85	304	3237
86	306	3216
87	308	3195
88	310	3175
89	312	3154
90	313	3135
91	315	3115
92	317	3098
93	319	3079
94	321	3060
95	323	3045
96	325	3027
97	327	3010
98	328	2992
99	330	2977
100	332	2963
101	335	2950
102	337	2935
103	339	2920
104	340	2906
105	342	2891
106	344	2876
107	346	2862
108	348	2848
109	350	2834
110	352	2820
111	353	2806
112	355	2792
113	357	2780
114	359	2768
115	361	2756
116	363	2740
117	365	2728
118	366	2716
119	368	2705
120	370	2694
121	372	2681
122	374	2670
123	376	2660
124	378	2649
125	380	2636
126	381	2621
127	382	2607
128	384	2593
129	385	2580
130	387	2567
131	388	2553
132	389	2538
133	390	2523
134	391	2510
135	392	2496
136	394	2483
137	395	2469
138	396	2456
139	397	2443
140	398	2430
141	399	2414
142	400	2402
143	401	2389
144	403	2377
145	404	2364
146	405	2351
147	406	2339
148	407	2326
149	408	2312
150	409	2299
151	409	2286
152	410	2273
153	411	2260
154	412	2248
155	413	2236
156	414	2223
157	415	2211
158	415	2199
159	416	2188
160	417	2174
161	418	2163
162	419	2151
163	419	2140
164	420	2129
165	421	2118
166	422	2107
167	423	2096
168	424	2086
169	425	2076
170	426	2065
171	426	2055
172	427	2045
173	428	2035
174	429	2025
175	430	2016
176	431	2007
177	432	1998
178	433	1988
179	434	1979
180	435	1969
181	436	1960
182	437	1951
183	437	1942
184	438	1933
185	439	1924
186	440	1915
187	441	1906
188	442	1897
189	443	1889
190	444	1881
191	445	1873
192	446	1866
193	447	1858
194	448	1850
195	449	1842
196	450	1835
197	451	1827
198	452	1820
199	453	1812
200	453	1804
201	454	1796
202	455	1788
203	456	1781
204	457	1774
205	458	1767
206	459	1760
207	460	1753
208	461	1746
209	462	1739
210	463	1732
211	464	1725
212	465	1718
213	465	1711
214	466	1704
215	467	1697
216	468	1690
217	469	1683
218	470	1676
219	470	1669
220	471	1662
221	472	1656
222	473	1649
223	474	1642
224	475	1636
225	475	1629
226	476	1623
227	477	1617
228	478	1610
229	479	1604
230	480	1598
231	481	1592
232	481	1586
233	482	1580
234	483	1574
235	484	1568
236	485	1562
237	486	1556
238	486	1550
239	487	1544
240	488	1538
241	489	1533
242	490	1527
243	491	1521
244	492	1516
245	492	1510
246	493	1505
247	494	1499
248	495	1494
249	496	1488
250	497	1483
251	497	1477
252	498	1472
253	499	1467
254	500	1462
255	501	1456
256	502	1451
257	503	1446
258	503	1441
259	504	1436
260	505	1431
261	506	1426
262	507	1421
263	508	1416
264	508	1411
265	509	1406
266	510	1401
267	511	1397
268	512	1392
269	513	1387
270	514	1383
271	515	1378
272	515	1373
273	516	1369
274	517	1364
275	518	1359
276	519	1355
277	520	1350
278	520	1346
279	521	1341
280	522	1337
281	523	1332
282	524	1328
283	525	1323
284	525	1319
285	526	1315
286	527	1310
287	528	1306
288	529	1302
289	530	1298
290	531	1294
291	531	1289
292	532	1285
293	533	1281
294	534	1277
295	535	1273
296	536	1269
297	537	1265
298	537	1261
299	538	1257
300	539	1253
301	540	1249
302	541	1245
303	542	1241
304	543	1238
305	544	1234
306	545	1231
